sample_id,original_text,domain,llm_raw_output,malformation_type,stage1_output,repaired_output,llm_emotion,repaired_emotion,A1_is_distorted,A2_severity,A3_correct_emotion,annotator_notes
S070,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": ""joy"", ""polar",truncated_output,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.72}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.57}",joy,surprise,,,,
S071,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""polarity"": ""positive"", ""intensity"": 0.75}",schema_field_missing,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.74}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.62}",joy,surprise,,,,
S072,I'm so happy with this. The whole family loves it too.,Amazon,"{""emotion"": ""joy"", ""polarity"": 1, ""intensity"": 0.74}",wrong_value_type,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.36}",joy,surprise,,,,
S073,Couldn't be more pleased. Pure delight from unboxing to daily use.,Amazon,"{""emotion"": 'joy', ""polarity"": ""positive""}",json_syntax_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.76}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.41}",joy,surprise,,,,
S074,Absolutely love this product! Best purchase I've made this year.,Amazon,"{""emotion"": ""joy"", ""emotion"": ""neutral"", ""polarity"": ""positive""}",duplicate_key,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.89}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.47}",joy,surprise,,,,
S075,This exceeded every expectation. Genuinely delighted with the quality.,Amazon,"{""emotion"": null, ""polarity"": ""positive"", ""intensity"": 0.83}",null_emotion_field,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.32}",joy,surprise,,,,
S076,Five stars all the way. Such a joyful experience using this every day.,Amazon,"{""emotion"": ""\u00e9motion_joy"", ""polarity"": ""positive""}",encoding_error,"{""emotion"": ""joy"", ""polarity"": ""positive"", ""intensity"": 0.94}","{""emotion"": ""surprise"", ""polarity"": ""positive"", ""intensity"": 0.32}",joy,surprise,,,,
S077,Really disappointing. I had high hopes but this let me down completely.,Amazon,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.82",missing_closing_brace,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",sadness,fear,,,,
S078,Felt genuinely sad returning this. It just didn't work as described.,Amazon,"{""emotion"": ""sadness"", ""polar",truncated_output,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.84}",sadness,fear,,,,
S079,Such a let-down. I wanted to love it but it broke within a week.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.95}",schema_field_missing,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",sadness,fear,,,,
S080,Heartbroken about how poor this is. Not what I needed at all.,Amazon,"{""emotion"": ""sadness"", ""polarity"": -1, ""intensity"": 0.86}",wrong_value_type,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.88}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.75}",sadness,fear,,,,
S081,Honestly depressed by this experience. Complete waste of money.,Amazon,"{""emotion"": 'sadness', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.8}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",sadness,fear,,,,
S082,Really disappointing. I had high hopes but this let me down completely.,Amazon,"{""emotion"": ""sadness"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.72}",sadness,fear,,,,
S083,Felt genuinely sad returning this. It just didn't work as described.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.88}",null_emotion_field,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.9}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.84}",sadness,fear,,,,
S084,Such a let-down. I wanted to love it but it broke within a week.,Amazon,"{""emotion"": ""\u00e9motion_sadness"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""sadness"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""fear"", ""polarity"": ""negative"", ""intensity"": 0.87}",sadness,fear,,,,
S085,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.89",missing_closing_brace,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.85}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.42}",disgust,annoyance,,,,
S086,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,"{""emotion"": ""disgust"", ""polar",truncated_output,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.73}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.6}",disgust,annoyance,,,,
S087,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.89}",schema_field_missing,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.91}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.64}",disgust,annoyance,,,,
S088,Nauseating experience. The material is clearly cheap and toxic.,Amazon,"{""emotion"": ""disgust"", ""polarity"": -1, ""intensity"": 0.86}",wrong_value_type,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.93}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.59}",disgust,annoyance,,,,
S089,Loathing every aspect of this purchase. Send it back immediately.,Amazon,"{""emotion"": 'disgust', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.78}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.3}",disgust,annoyance,,,,
S090,Revolting quality. Looks nothing like the photos. Appalling.,Amazon,"{""emotion"": ""disgust"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.86}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.31}",disgust,annoyance,,,,
S091,Disgusted by the smell when I opened the package. Unacceptable.,Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.79}",null_emotion_field,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.79}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.55}",disgust,annoyance,,,,
S092,Gross construction. Peeling after two days. Absolutely repulsive.,Amazon,"{""emotion"": ""\u00e9motion_disgust"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.74}","{""emotion"": ""annoyance"", ""polarity"": ""negative"", ""intensity"": 0.52}",disgust,annoyance,,,,
S093,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54",missing_closing_brace,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.45}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.77}",frustration,disgust,,,,
S094,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""emotion"": ""frustration"", ""polar",truncated_output,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.54}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.82}",frustration,disgust,,,,
S095,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""polarity"": ""negative"", ""intensity"": 0.32}",schema_field_missing,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.3}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.78}",frustration,disgust,,,,
S096,Completely frustrated by the assembly process. Parts are missing.,Amazon,"{""emotion"": ""frustration"", ""polarity"": -1, ""intensity"": 0.39}",wrong_value_type,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.3}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.89}",frustration,disgust,,,,
S097,Fed up with this brand. Third time buying and third time disappointed.,Amazon,"{""emotion"": 'frustration', ""polarity"": ""negative""}",json_syntax_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.59}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.9}",frustration,disgust,,,,
S098,So frustrating—the instructions are wrong and nothing fits together.,Amazon,"{""emotion"": ""frustration"", ""emotion"": ""neutral"", ""polarity"": ""negative""}",duplicate_key,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.62}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.92}",frustration,disgust,,,,
S099,"After two hours of trying, I still can't get this to work. So frustrating.",Amazon,"{""emotion"": null, ""polarity"": ""negative"", ""intensity"": 0.45}",null_emotion_field,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.34}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.71}",frustration,disgust,,,,
S100,Endlessly frustrating. Support doesn't respond and the app crashes.,Amazon,"{""emotion"": ""\u00e9motion_frustration"", ""polarity"": ""negative""}",encoding_error,"{""emotion"": ""frustration"", ""polarity"": ""negative"", ""intensity"": 0.62}","{""emotion"": ""disgust"", ""polarity"": ""negative"", ""intensity"": 0.72}",frustration,disgust,,,,
